Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing,Year,Payload mass kg,Payload mass lbs
1,Cape Canaveral,Dragon Spacecraft Qualification Unit,U,LEO,SpaceX,Success,2010-06-04,18:45,F9v1.0,Failure (parachute),2010,,
2,Cape Canaveral,SpaceX COTS Demo Flight 1,U,LEO,NASA,Success,2010-12-08,15:43,F9v1.0,Failure (parachute),2010,,
3,Cape Canaveral,SpaceX COTS Demo Flight 2,525 kg,LEO,NASA,Success,2012-05-22,07:44,F9 v1.0,No attempt,2012,525.0,1157.4254999999998
4,Cape Canaveral,SpaceX CRS-1,"4,700 kg",LEO,NASA,Success,2012-10-08,00:35,F9 v1.0,No attempt,2012,4700.0,10361.714
5,Cape Canaveral,SpaceX CRS-2,"4,877 kg",LEO,NASA,Success,2013-03-01,15:10,F9 v1.0,No attempt,2013,4877.0,10751.931739999998
6,Vandenberg,CASSIOPE,500 kg,Polar orbit,MDA,Success,2013-09-29,16:00,F9 v1.1,Failure (ocean),2013,500.0,1102.31
7,Cape Canaveral,SES-8,"3,170 kg",GTO,SES,Success,2013-12-03,22:41,F9 v1.1,No attempt,2013,3170.0,6988.645399999999
8,Cape Canaveral,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,2014-01-06,22:06,F9 v1.1,No attempt,2014,3325.0,7330.361499999999
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,Success,2014-04-18,19:25,F9 v1.1,Controlled (ocean),2014,2296.0,5061.807519999999
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,2014-07-14,15:15,F9 v1.1,Controlled (ocean),2014,1316.0,2901.27992
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,2014-08-05,08:00,F9 v1.1,No attempt,2014,4535.0,9997.9517
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,2014-09-07,05:00,F9 v1.1,No attempt,2014,4428.0,9762.057359999999
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,2014-09-21,05:52,F9 v1.1,Failure (ocean),2014,2216.0,4885.437919999999
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,2015-01-10,09:47,F9 v1.1,Failure ( JRTI,2015,2395.0,5280.064899999999
15,Cape Canaveral,DSCOVR,570 kg,,USAF,Success,2015-02-11,23:03,F9 v1.1,Controlled (ocean),2015,570.0,1256.6334
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,Success,2015-03-02,03:50,F9 v1.1,No attempt,2015,4159.0,9169.01458
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,Success,2015-04-14,20:10,F9 v1.1,Failure ( JRTI,2015,1898.0,4184.368759999999
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,Success,2015-04-27,23:03,F9 v1.1,No attempt,2015,4707.0,10377.14634
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,2015-06-28,14:21,F9 v1.1,Precluded  (drone ship),2015,1952.0,4303.41824
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,Success,2015-12-22,01:29,F9 FT,Success ( LZ‑1,2015,2034.0,4484.19708
21,Vandenberg,Jason-3,553 kg,LEO,NASA,Success,2016-01-17,18:42,F9 v1.1[,Failure ( JRTI,2016,553.0,1219.1548599999999
22,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,Success,2016-03-04,23:35,F9 FT[,Failure ( OCISLY,2016,5271.0,11620.55202
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,2016-04-08,20:43,F9 FT[,Success ( OCISLY,2016,3136.0,6913.688319999999
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,Success,2016-05-06,05:21,F9 FT[,Success ( OCISLY,2016,4696.0,10352.895519999998
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,Success,2016-05-27,21:39,F9 FT[,Success ( OCISLY,2016,3100.0,6834.321999999999
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,Success,2016-06-15,14:29,F9 FT[,Failure ( OCISLY,2016,3600.0,7936.632
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,Success,2016-07-18,04:45,F9 FT[,Success ( LZ‑1,2016,2257.0,4975.82734
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,Success,2016-08-14,05:26,F9 FT[,Success ( OCISLY,2016,4600.0,10141.251999999999
29,Vandenberg,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,2017-01-14,17:54,F9FT[,Success ( JRTI,2017,9600.0,21164.352
30,Kennedy,SpaceX CRS-10,"2,490 kg",LEO,NASA,Success,2017-02-19,14:39,F9FT[,Success ( LZ‑1,2017,2490.0,5489.5037999999995
31,Kennedy,EchoStar 23,"5,600 kg",GTO,EchoStar,Success,2017-03-16,06:00,F9FT[,No attempt,2017,5600.0,12345.872
32,Kennedy,SES-10,"5,300 kg",GTO,SES,Success,2017-03-30,22:27,F9FT[,Success ( OCISLY,2017,5300.0,11684.485999999999
33,Kennedy,NROL-76,C,LEO,NRO,Success,2017-05-01,11:15,F9FT[,Success ( LZ‑1,2017,,
34,Kennedy,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,Success,2017-05-15,23:21,F9FT[,No attempt,2017,6070.0,13382.043399999999
35,Kennedy,SpaceX CRS-11,"2,708 kg",LEO,NASA,Success,2017-06-03,21:07,F9FT[,Success ( LZ‑1,2017,2708.0,5970.110959999999
36,Kennedy,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,Success,2017-06-23,19:10,F9FT[,Success ( OCISLY,2017,3669.0,8088.750779999999
37,Vandenberg,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,Success,2017-06-25,20:25,F9FT[,Success ( JRTI,2017,9600.0,21164.352
38,Kennedy,Intelsat 35e,"6,761 kg",GTO,Intelsat,Success,2017-07-05,23:38,F9FT[,No attempt,2017,6761.0,14905.435819999999
39,Kennedy,SpaceX CRS-12,"3,310 kg",LEO,NASA,Success,2017-08-14,16:31,F9B4[,Success ( LZ‑1,2017,3310.0,7297.292199999999
40,Vandenberg,Formosat-5,475 kg,SSO,NSPO,Success,2017-08-24,18:51,F9FT[,Success ( JRTI,2017,475.0,1047.1944999999998
41,Kennedy,Boeing X-37B,"4,990 kg",LEO,USAF,Success,2017-09-07,14:00,F9B4[,Success ( LZ‑1,2017,4990.0,11001.0538
42,Vandenberg,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,2017-10-09,12:37,F9B4[,Success ( JRTI,2017,9600.0,21164.352
43,Kennedy,SES-11,"5,400 kg",GTO,SES S.A.,Success,2017-10-11,22:53:00,F9 FT[,Success ( OCISLY,2017,5400.0,11904.947999999999
44,Kennedy,Koreasat 5A,"3,500 kg",GTO,KT Corporation,Success,2017-10-30,19:34,F9B4[,Success ( OCISLY,2017,3500.0,7716.169999999999
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,Success,2017-12-15,15:36,F9 FT[,Success ( LZ‑1,2017,2205.0,4861.187099999999
46,Vandenberg,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,2017-12-23,01:27,F9 FT[,Controlled (ocean),2017,9600.0,21164.352
47,Cape Canaveral,Zuma,C,LEO,,Success,2018-01-08,01:00,F9B4,Success ( LZ‑1,2018,,
48,Cape Canaveral,GovSat-1,"4,230 kg",GTO,SES,Success,2018-01-31,21:25,F9FT[,Controlled (ocean),2018,4230.0,9325.542599999999
49,Vandenberg,Paz,"2,150 kg",SSO,Hisdesat,Success,2018-02-22,14:17,F9FT[,No attempt,2018,2150.0,4739.933
50,Cape Canaveral,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,2018-03-06,05:33,F9B4[,Controlled (ocean),2018,6092.0,13430.545039999999
51,Vandenberg,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,2018-03-30,14:14,F9B4[,No attempt,2018,9600.0,21164.352
52,Cape Canaveral,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,2018-04-02,20:30,F9B4[,No attempt,2018,2647.0,5835.629139999999
53,Cape Canaveral,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,2018-04-18,22:51,F9B4[,Success ( OCISLY,2018,362.0,798.0724399999999
54,Kennedy,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,2018-05-11,20:14,F9B5303B1046-1260,Success ( OCISLY,2018,3600.0,7936.632
